objectid,facilityid,name,length,width,surftype,hiking,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,ownedby,maintby,status,trail_type,slope,created_user,last_edited_user,county,council_district,last_edited_date,created_date,installdate,shape_Length
402,82,Harrison Street,4967.47341417,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:08:00+00,2014/12/04 22:33:40+00,,4965.85238662028
403,3969,,526.70568462,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 02:02:08+00,,526.532303037166
404,4077,,10929.87876689,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 19:05:29+00,,10926.3661480766
405,4119,,1794.12956251,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 01:42:25+00,,1793.55432633354
406,4035,,1416.27914659,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/16 02:29:55+00,,1415.80223488484
407,4062,,1281.55727776,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 01:21:18+00,,1281.14324867608
408,4538,Flanagan Lake Trail,12848.2035386,,,,,,,,,,,,,,,,Existing,,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2020/05/13 15:52:20+00,,12843.8806565061
409,3973,Lake Zorinsky Trail,541.40703215,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 19:18:42+00,,541.229459513833
410,3944,,4118.60238412,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 21:57:14+00,,4117.21934415766
411,10148,Up Top Trail,1051.11833013,,,Yes,No,No,No,No,No,No,No,No,Intermediate,,,,Existing,Park Trail,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2022/12/06 20:59:39+00,,1050.77367906509
412,3980,,6732.23133672,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/16 00:15:42+00,,6729.95524878159
413,3492,Wren,620.696495,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,620.494809822622
414,3526,MoPac East Trail - LPSNRD,114969.14056018,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Cass/Lancaster,,2022/12/08 13:49:35+00,2017/04/01 01:10:23+00,,114938.013212343
415,3889,144th Street North,1849.50571614,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 21:43:41+00,,1848.88997696565
416,4527,Lake Zorinsky Trail,893.3270073,,,,,,,,,,,,,,,,Existing,,,JECHEZEM,jechezem,Douglas,,2022/12/08 14:08:00+00,2019/03/21 17:15:06+00,,893.033419755515
417,4092,Hanscom Park,2224.99338298,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 02:20:07+00,,2224.25716413567
418,115,Willow Wood,3088.38104858,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:08:00+00,2014/12/04 22:33:40+00,,3087.34985868207
419,6932,Keystone Trail,893.36108204,,,,,,,,,,,,,,,,Proposed,,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2021/03/29 17:32:55+00,,893.060636092284
420,3544, ,207.36857019,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,207.301623011397
421,4099,Lake Zorinsky Trail,1398.14812546,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:11:49+00,,1397.68659026444
422,3966,Riverfront Trail,32595.54295175,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 00:48:08+00,,32584.5966266472
423,4006,,709.95997795,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 02:20:47+00,,709.724671016852
424,3979,144th Street North,2818.2719021,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 21:45:59+00,,2817.33374643835
425,4036,,198.74279337,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:33:09+00,,198.676263290499
426,4002,Riverfront Trail,2121.1274099,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 01:49:41+00,,2120.43171186485
427,3999,,5366.38435164,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/16 00:42:26+00,,5364.62715991641
